profile,scenario,variable,trials,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_memory_mb,mean_tokens,mean_cache_hit_rate
OPT1: Context Compression,server_scaling,1,30,77.43696666669469,77.28064999992057,78.49499999974796,78.75499999954627,4.9591064453125e-05,1052,0.0
OPT1: Context Compression,server_scaling,5,30,77.5030166666814,77.54270000032193,78.14869999947405,79.2262999993909,4.9591064453125e-05,1136,0.0
OPT1: Context Compression,server_scaling,10,30,92.8475466666896,92.80005000027813,93.64110000024084,94.03659999952652,4.9591064453125e-05,1241,0.0
OPT1: Context Compression,server_scaling,20,30,108.19933000002493,108.28094999988025,108.90490000019781,109.28469999998924,4.9591064453125e-05,1451,0.0
OPT1: Context Compression,server_scaling,30,30,139.30373666671585,139.29454999970403,140.38350000009814,140.7060999999885,5.4168701171875e-05,1661,0.0
OPT1: Context Compression,server_scaling,40,30,154.71664666671737,154.66310000010708,156.23799999957555,156.7546999995102,4.9591064453125e-05,1871,0.0
OPT1: Context Compression,server_scaling,50,30,170.27713666666386,170.3327000000172,171.76199999994424,171.9215000002805,7.62939453125e-05,2081,0.0
ULTRA: All Techniques Combined,context_scaling,64,30,123.78575666665104,123.59330000026603,124.80939999932161,125.06990000019869,2.6702880859375e-05,2536,0.75
ULTRA: All Techniques Combined,context_scaling,128,30,123.57860333337764,123.56635000014649,124.69539999983681,125.05210000017541,2.6702880859375e-05,2773,0.75
ULTRA: All Techniques Combined,context_scaling,256,30,123.71679999993528,123.74265000016749,124.70049999956245,124.88970000049449,2.6702880859375e-05,3247,0.75
ULTRA: All Techniques Combined,context_scaling,512,30,123.56043666668484,123.60994999971808,124.55279999994673,124.59399999988818,2.6702880859375e-05,4194,0.75
ULTRA: All Techniques Combined,context_scaling,1024,30,123.44918666670613,123.45439999990049,124.27669999942736,125.00730000010662,2.6702880859375e-05,6088,0.75
ULTRA: All Techniques Combined,server_scaling,1,30,77.43015666668119,77.39540000011402,78.56649999939691,78.61299999967741,2.6702880859375e-05,2962,0.75
ULTRA: All Techniques Combined,server_scaling,5,30,92.77588666667118,92.76435000037964,93.7233999993623,94.0150000005815,2.6702880859375e-05,3022,0.75
ULTRA: All Techniques Combined,server_scaling,10,30,92.77167666659807,92.62614999988728,93.72220000022935,94.24569999919186,2.6702880859375e-05,3097,0.75
ULTRA: All Techniques Combined,server_scaling,20,30,123.75345666672122,123.73725000043123,124.69049999981507,125.93779999951948,2.6702880859375e-05,3247,0.75
ULTRA: All Techniques Combined,server_scaling,30,30,141.2397833331852,139.4017999996322,154.17489999981626,154.4715999998516,2.6702880859375e-05,3397,0.75
ULTRA: All Techniques Combined,server_scaling,40,30,170.0132866666839,169.95270000006713,171.8283000000156,172.25650000000314,2.6702880859375e-05,3547,0.75
ULTRA: All Techniques Combined,server_scaling,50,30,200.67475666667937,201.06600000008257,202.17739999952755,202.3858000002292,8.0108642578125e-05,3697,0.75
